CLUESmallArea,BlockId,Usage,SumFloors2002,BuildingCount2002,SumFloors2021,BuildingCount2021,MostFloors2002,MostFloors2021
East Melbourne,606,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
East Melbourne,606,Parking - Commercial Covered,0,0,0,0
East Melbourne,652,Office,44.0,8,50.0,9,14,15
East Melbourne,652,Public Display Area,0.0,0,3.0,1,0,3
East Melbourne,652,Unoccupied - Unused,0.0,0,0.0,0,0,0
East Melbourne,652,Unoccupied - Under Renovation,4.0,1,0.0,0,4,0
East Melbourne,652,Storage,3.0,1,0.0,0,3,0
East Melbourne,652,House/Townhouse,0,0,0,0
East Melbourne,652,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,652,Parking - Commercial Covered,0,0,0,0
East Melbourne,608,House/Townhouse,49.0,37,58.0,38,2,2
East Melbourne,608,Residential Apartment,15.0,8,20.0,7,3,7
East Melbourne,608,Equipment Installation,1.0,1,1.0,1,1,1
East Melbourne,608,Public Display Area,1.0,1,2.0,1,1,2
East Melbourne,608,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0,0,0
East Melbourne,608,Office,0,0,0,0
East Melbourne,608,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,608,Unoccupied - Unused,0,0,0,0
East Melbourne,608,Parking - Commercial Covered,0,0,0,0
East Melbourne,644,Office,67.0,6,57.0,4,20,20
East Melbourne,644,"Performances, Conferences, Ceremonies",2.0,1,2.0,1,2,2
East Melbourne,644,Hospital/Clinic,0.0,0,7.0,1,0,7
East Melbourne,644,Parking - Commercial Covered,7.0,1,7.0,1,7,7
East Melbourne,644,Parking - Private Covered,3.0,1,3.0,1,3,3
East Melbourne,644,Unoccupied - Unused,0.0,0,3.0,1,0,3
East Melbourne,644,House/Townhouse,0,0,0,0
East Melbourne,644,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,621,Public Display Area,0.0,0,3.0,1,0,3
East Melbourne,621,Educational/Research,1.0,1,4.0,1,1,4
East Melbourne,621,Residential Apartment,7.0,1,15.0,2,7,8
East Melbourne,621,Office,44.0,7,46.0,8,11,11
East Melbourne,621,Parking - Private Covered,0.0,0,11.0,1,0,11
East Melbourne,621,Entertainment/Recreation - Indoor,2.0,1,0.0,0,2,0
East Melbourne,621,House/Townhouse,1.0,1,3.0,2,1,2
East Melbourne,621,Unoccupied - Unused,18.0,3,2.0,1,10,2
East Melbourne,621,"Performances, Conferences, Ceremonies",1.0,1,0.0,0,1,0
East Melbourne,621,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
East Melbourne,621,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
